UPRN|ESTAB_UPRN|ABP_CODE|ORGANISATION_NAME|ADDRESS_LINE1|ADDRESS_LINE2|ADDRESS_LINE3|TOWN_NAME|POSTCODE|ADDRESS_TYPE|ESTAB_TYPE|ADDRESS_LEVEL|CE_EXPECTED_CAPACITY|CE_SECURE|PRINT_BATCH|LATITUDE|LONGITUDE|OA|LSOA|MSOA|LAD|REGION|HTC_WILLINGNESS|HTC_DIGITAL|FIELDCOORDINATOR_ID|FIELDOFFICER_ID|TREATMENT_CODE
10008677190|35808325100|RD06||Flat 51 Francombe House|Commercial Road||Windleybury|XX1 0XX|HH|HOUSEHOLD|U||0|15|51.4463421|-2.5924477|E00073438|E01014540|E02003043|E06000023|E12000009|1|1|1|2|HH_PSCE
10008677191|35808325100|RD06||Flat 51 Francombe House|Commercial Road||Windleybury|XX1 0XX|HH|HOUSEHOLD|U||0|15|51.4463421|-2.5924477|E00073438|E01014540|E02003043|E06000023|E12000009|1|1|1|2|HH_PSLE
10008677192|35808325100|RD06||Flat 51 Francombe House|Commercial Road||Windleybury|XX1 0XX|HH|HOUSEHOLD|U||0|15|51.4463421|-2.5924477|E00073438|E01014540|E02003043|E06000023|E12000009|1|1|1|2|HH_PNCE
10008677193|35808325100|RD06||Flat 51 Francombe House|Commercial Road||Windleybury|XX1 0XX|HH|HOUSEHOLD|U||0|15|51.4463421|-2.5924477|E00073438|E01014540|E02003043|E06000023|E12000009|1|1|1|2|HH_OSCE
10008677194|35808325100|RD06||Flat 51 Francombe House|Commercial Road||Windleybury|XX1 0XX|HH|HOUSEHOLD|U||0|15|51.4463421|-2.5924477|E00073438|E01014540|E02003043|E06000023|E12000009|1|1|1|2|HH_ONCE
10008677195|35808325100|RD06||Flat 51 Francombe House|Commercial Road||Windleybury|XX1 0XX|HH|HOUSEHOLD|U||0|15|51.4463421|-2.5924477|E00073438|E01014540|E02003043|E06000023|E12000009|1|1|1|2|HH_PSCW
10008677196|35808325100|RD06||Flat 51 Francombe House|Commercial Road||Windleybury|XX1 0XX|HH|HOUSEHOLD|U||0|15|51.4463421|-2.5924477|E00073438|E01014540|E02003043|E06000023|E12000009|1|1|1|2|HH_PSLW
10008677197|35808325100|RD06||Flat 51 Francombe House|Commercial Road||Windleybury|XX1 0XX|HH|HOUSEHOLD|U||0|15|51.4463421|-2.5924477|E00073438|E01014540|E02003043|E06000023|E12000009|1|1|1|2|HH_OSXS
10008677204|35808325100|RD06||Flat 51 Francombe House|Commercial Road||Windleybury|XX1 0XX|HH|HOUSEHOLD|U||0|15|51.4463421|-2.5924477|E00073438|E01014540|E02003043|E06000023|N92000002|1|1|1|2|HH_PSCE
10008677205|35808325100|RD06||Flat 51 Francombe House|Commercial Road||Windleybury|XX1 0XX|HH|HOUSEHOLD|U||0|15|51.4463421|-2.5924477|E00073438|E01014540|E02003043|E06000023|S92000003|1|1|1|2|HH_PSCE
10008677206|35808325100|RD06||Flat 51 Francombe House|Commercial Road||Windleybury|XX1 0XX|HH|HOUSEHOLD|U||0|15|51.4463421|-2.5924477|E00073438|E01014540|E02003043|E06000023|E12000009|1|1|1|2|HH_PSCE
10008677207|35808325100|RD06||Flat 51 Francombe House|Commercial Road||Windleybury|XX1 0XX|HH|HOUSEHOLD|U||0|15|51.4463421|-2.5924477|E00073438|E01014540|E02003043|E06000023|W92000004|1|1|1|2|HH_PSCE
10008677208|35808325100|RD06||Flat 51 Francombe House|Commercial Road||Windleybury|XX1 0XX|HH|HOUSEHOLD|U||0|15|51.4463421|-2.5924477|E00073438|E01014540|E02003043|E06000023|E12000009|1|1|1|2|HH_PSCE
10008677209|35808325100|RD06||Flat 51 Francombe House|Commercial Road||Windleybury|XX1 0XX|HH|HOUSEHOLD|U||0|15|51.4463421|-2.5924477|E00073438|E01014540|E02003043|E06000023|N92000002|1|1|1|2|HH_PSCE
